,movie,year,imdb,metascore,votes,n_imdb
2595,"Sexo, Drogas e Jingle Bells",2015,6.4,58,46898,64.0
2596,Krampus: O Terror do Natal,2015,6.2,49,44903,62.0
2597,A História Verdadeira,2015,6.3,50,44568,63.0
2598,Hacker,2015,5.4,51,44448,54.0
2599,Magic Mike XXL,2015,5.6,60,44206,56.0
2600,Macbeth: Ambição e Guerra,2015,6.7,71,43865,67.0
2601,O Homem Irracional,2015,6.6,53,43173,66.0
2602,A Dama Dourada,2015,7.3,51,42445,73.0
2603,O Pequeno Príncipe,2015,7.8,70,42124,78.0
2604,Carta Selvagem,2015,5.6,40,41675,56.0
2605,Victor Frankenstein,2015,6.0,36,40994,60.0
2606,Belas e Perseguidas,2015,5.1,31,40650,51.0
2607,(Des)encontro Perfeito,2015,6.8,69,39203,68.0
2608,Presságios de um Crime,2015,6.4,36,39161,64.0
2609,Bob Esponja: Um Herói Fora d'Água,2015,6.0,62,38833,60.0
2610,Amy,2015,7.8,85,38225,78.0
2611,A Vingança Está na Moda,2015,7.1,47,37288,71.0
2612,Victoria,2015,7.7,77,37155,77.0
2613,Longe Deste Insensato Mundo,2015,7.1,71,36457,71.0
2614,Maggie: A Transformação,2015,5.6,52,35420,56.0
2615,"Snoopy & Charlie Brown: Peanuts, o Filme",2015,7.1,67,35120,71.0
2616,Como Sobreviver a Um Ataque Zumbi,2015,6.3,32,34348,63.0
2617,A Entidade 2,2015,5.3,32,34241,53.0
2618,O Homem que viu o Infinito,2015,7.2,56,34240,72.0
2619,Mr. Right,2015,6.3,52,33899,63.0
2620,Amor e Revolução,2015,7.1,33,33648,71.0
2621,Lugares Escuros,2015,6.2,39,33458,62.0
2622,Oeste Sem Lei,2015,6.9,72,33241,69.0
2623,Renascida do Inferno,2015,5.2,31,32830,52.0
2624,Os 6 Ridículos,2015,4.8,18,32741,48.0
2625,O Filho de Saul,2015,7.5,89,32707,75.0
2626,Carga Explosiva: O Legado,2015,5.2,32,32648,52.0
2627,O Franco-Atirador,2015,5.8,39,32614,58.0
2628,O Grande Mestre 3,2015,7.1,57,32053,71.0
2629,Os Últimos Cavaleiros,2015,6.2,27,31909,62.0
2630,A Ressaca 2,2015,5.1,29,31747,51.0
2631,O Garoto da Casa ao Lado,2015,4.7,30,31253,47.0
2632,Going Clear: Scientology & the Prison of Belief,2015,8.1,80,30058,81.0
2633,Dormindo Com as Outras Pessoas,2015,6.5,64,30012,65.0
2634,Olhos da Justiça,2015,6.2,45,29730,62.0
2635,Absolutamente Impossível,2015,6.0,31,28995,60.0
2636,As Sufragistas,2015,6.9,67,28602,69.0
2637,No Topo do Poder,2015,5.7,65,28404,57.0
2638,Regressão,2015,5.7,32,28388,57.0
2639,Shaun: O Carneiro,2015,7.4,81,28319,74.0
2640,Os 33,2015,6.9,55,28185,69.0
2641,McFarland dos EUA,2015,7.4,60,28002,74.0
2642,"Música, Amigos e Festa",2015,6.2,46,27920,62.0
2643,Segurança de Shopping 2,2015,4.4,13,27387,44.0
2644,Um Homem Chamado Ove,2015,7.7,70,26600,77.0
2645,Love,2015,6.0,51,26384,60.0
2646,Negócios Fora de Controle,2015,5.4,32,26158,54.0
2647,O Exótico Hotel Marigold 2,2015,6.6,51,26003,66.0
2648,Cinco Graças,2015,7.7,83,25564,77.0
2649,Terror nos Bastidores,2015,6.6,59,25417,66.0
2650,Deadpool,2016,8.0,65,675185,80.0
2651,Batman vs Superman: A Origem da Justiça,2016,6.6,44,500706,66.0
2652,Capitão América: Guerra Civil,2016,7.9,75,447322,79.0
2653,Esquadrão Suicida,2016,6.2,40,441218,62.0
2654,A Chegada,2016,8.0,81,401344,80.0
2655,Rogue One: Uma História Star Wars,2016,7.9,65,371915,79.0
2656,Doutor Estranho,2016,7.5,72,355234,75.0
2657,Zootopia,2016,8.0,78,320605,80.0
2658,La La Land: Cantando Estações,2016,8.2,93,317201,82.0
2659,X-Men: Apocalipse,2016,7.0,52,299361,70.0
2660,Animais Fantásticos e Onde Habitam,2016,7.4,66,274553,74.0
2661,Até o Último Homem,2016,8.2,71,270700,82.0
2662,Passageiros,2016,7.0,41,243720,70.0
2663,Fragmentado,2016,7.3,62,221528,73.0
2664,"Rua Cloverfield, 10",2016,7.2,76,212088,72.0
2665,Mogli: O Menino Lobo,2016,7.5,77,211178,75.0
2666,Warcraft: O Primeiro Encontro de Dois Mundos,2016,6.9,32,198816,69.0
2667,Dois Caras Legais,2016,7.4,70,196315,74.0
2668,O Contador,2016,7.4,51,192749,74.0
2669,Star Trek: Sem Fronteiras,2016,7.1,68,181785,71.0
2670,Procurando Dory,2016,7.4,77,175335,74.0
2671,Truque de Mestre: O 2º Ato,2016,6.5,46,174478,65.0
2672,Moonlight: Sob a Luz do Luar,2016,7.5,99,165802,75.0
2673,Jason Bourne,2016,6.7,58,165444,67.0
2674,Manchester À Beira-Mar,2016,7.9,96,163602,79.0
2675,Moana: Um Mar de Aventuras,2016,7.6,81,162020,76.0
2676,Sully: O Herói do Rio Hudson,2016,7.5,74,160366,75.0
2677,Caça-Fantasmas,2016,5.3,60,158721,53.0
2678,A Promessa,2016,6.0,49,157479,60.0
2679,Animais Noturnos,2016,7.5,67,156662,75.0
2680,Invocação do Mal 2,2016,7.4,65,154112,74.0
2681,O Homem nas Trevas,2016,7.1,71,143049,71.0
2682,Sete Homens e um Destino,2016,6.9,54,140778,69.0
2683,Independence Day: O Ressurgimento,2016,5.3,32,138313,53.0
2684,Lion: Uma Jornada Para Casa,2016,8.1,69,137676,81.0
2685,Assassin's Creed,2016,5.9,36,136727,59.0
2686,Pets: A Vida Secreta dos Bichos,2016,6.6,61,135417,66.0
2687,A Qualquer Custo,2016,7.6,88,135205,76.0
2688,Festa da Salsicha,2016,6.2,66,134903,62.0
2689,Como Eu Era Antes de Você,2016,7.4,51,130288,74.0
2690,A Lenda de Tarzan,2016,6.3,44,130017,63.0
2691,Estrelas Além do Tempo,2016,7.8,74,125435,78.0
2692,Cães de Guerra,2016,7.1,57,125354,71.0
2693,Capitão Fantástico,2016,7.9,72,123993,79.0
2694,A Garota no Trem,2016,6.5,48,119277,65.0
2695,O Lar das Crianças Peculiares,2016,6.7,57,118486,67.0
2696,Inferno,2016,6.2,42,113332,62.0
2697,Um Espião e Meio,2016,6.3,52,108066,63.0
2698,Invasão a Londres,2016,5.9,28,107219,59.0
2699,Horizonte Profundo: Desastre no Golfo,2016,7.2,68,107016,72.0
2700,Aliados,2016,7.1,60,97208,71.0
2701,Kung Fu Panda 3,2016,7.1,66,96209,71.0
2702,"Ave, César!",2016,6.3,72,95277,63.0
2703,Snowden: Herói ou Traidor,2016,7.3,58,94078,73.0
2704,Jack Reacher: Sem Retorno,2016,6.1,47,93307,61.0
2705,Águas Rasas,2016,6.3,59,88200,63.0
2706,Vizinhos 2,2016,5.7,58,84376,57.0
2707,Sing: Quem Canta Seus Males Espanta,2016,7.1,59,84343,71.0
2708,A Grande Muralha,2016,6.0,42,84168,60.0
2709,Kubo e as Cordas Mágicas,2016,7.8,84,83896,78.0
2710,13 Horas: Os Soldados Secretos de Benghazi,2016,7.3,48,83820,73.0
2711,Tirando o Atraso,2016,6.0,21,83486,60.0
2712,Nerve: Um Jogo Sem Regras,2016,6.6,58,82570,66.0
2713,Quando as Luzes se Apagam,2016,6.4,58,82057,64.0
2714,Deuses do Egito,2016,5.4,25,79262,54.0
2715,Perfeita é a Mãe!,2016,6.2,60,77751,62.0
2716,A Série Divergente: Convergente,2016,5.7,33,77630,57.0
2717,A 5ª Onda,2016,5.2,33,77109,52.0
2718,Invasão Zumbi,2016,7.5,72,75482,75.0
2719,Jogo do Dinheiro,2016,6.5,55,73653,65.0
2720,O Caçador e a Rainha do Gelo,2016,6.1,35,72380,61.0
2721,Um Cadáver Para Sobreviver,2016,7.0,64,71129,70.0
2722,Irmão de Espião,2016,6.2,44,68108,62.0
2723,Tinha Que Ser Ele?,2016,6.2,39,67329,62.0
2724,As Tartarugas Ninja: Fora das Sombras,2016,6.0,40,65620,60.0
2725,Fome de Poder,2016,7.2,66,65353,72.0
2726,Um Limite Entre Nós,2016,7.2,79,64298,72.0
2727,Como Ser Solteira,2016,6.1,51,64068,61.0
2728,Alice Através do Espelho,2016,6.2,34,63756,62.0
2729,Silêncio,2016,7.2,79,63613,72.0
2730,A Incrível Aventura de Rick Baker,2016,7.9,81,62160,79.0
2731,Os Caça-Noivas,2016,6.0,51,62083,60.0
2732,Quase 18,2016,7.4,77,61566,74.0
2733,Voando Alto,2016,7.4,54,61351,74.0
2734,12 Horas Para Sobreviver: O Ano da Eleição,2016,6.0,55,61309,60.0
2735,Sing Street: Música e Sonho,2016,8.0,79,60142,80.0
2736,Angry Birds: O Filme,2016,6.3,43,60091,63.0
2737,Resident Evil 6: O Capítulo Final,2016,5.6,49,59796,56.0
2738,Destino Especial,2016,6.7,76,59095,67.0
2739,Kimi no na wa.,2016,8.5,79,58422,85.0
2740,Beleza Oculta,2016,6.8,23,57930,68.0
2741,Demônio de Neon,2016,6.2,51,57739,62.0
2742,O Bom Gigante Amigo,2016,6.4,66,57099,64.0
2743,Boneco do Mal,2016,6.0,42,56624,60.0
2744,Hush: A Morte Ouve,2016,6.6,67,54965,66.0
2745,Assassino à Preço Fixo 2: A Ressurreição,2016,5.7,38,54543,57.0
2746,O Dia do Atentado,2016,7.4,69,53447,74.0
2747,Jackie,2016,6.8,81,52206,68.0
2748,Polícia em Poder da Máfia,2016,6.3,52,52095,63.0
2749,Sete Minutos Depois da Meia-Noite,2016,7.5,76,51954,75.0
2750,Zoolander 2,2016,4.7,34,51697,47.0
2751,Café Society,2016,6.6,64,51638,66.0
2752,Conexão Escobar,2016,7.0,66,51099,70.0
2753,Anjos da Noite: Guerras de Sangue,2016,5.8,23,51030,58.0
2754,Trolls,2016,6.5,56,50451,65.0
2755,A Autópsia,2016,6.8,65,50424,68.0
2756,O Bebê de Bridget Jones,2016,6.6,59,49024,66.0
2757,Horas Decisivas,2016,6.8,58,48268,68.0
2758,A Cura,2016,6.4,47,47165,64.0
2759,A Criada,2016,8.1,84,45768,81.0
2760,Herança de Sangue,2016,6.4,66,44751,64.0
2761,Mente Criminosa,2016,6.3,36,43018,63.0
2762,Elle,2016,7.2,89,42631,72.0
2763,Z: A Cidade Perdida,2016,6.6,78,42055,66.0
2764,"Meu Amigo, O Dragão",2016,6.7,71,41658,67.0
2765,Cegonhas,2016,6.8,56,41534,68.0
2766,Policial em Apuros 2,2016,5.9,32,41086,59.0
2767,Vizinhos Nada Secretos,2016,5.9,34,40623,59.0
2768,"Jovens, Loucos e Mais Rebeldes",2016,7.0,83,40442,70.0
2769,Uma Repórter em Apuros,2016,6.6,57,39481,66.0
2770,A Era do Gelo: O Big Bang,2016,5.7,34,39064,57.0
2771,A Última Ressaca do Ano,2016,5.8,42,38164,58.0
2772,Orgulho e Preconceito e Zumbis,2016,5.8,45,38023,58.0
2773,Paterson,2016,7.4,90,37669,74.0
2774,Ouija: Origem do Mal,2016,6.1,65,36700,61.0
2775,Amizades Improváveis,2016,7.3,55,36668,73.0
2776,Florence: Quem é Essa Mulher?,2016,6.9,71,36230,69.0
2777,"Popstar: Sem Parar, Sem Limites",2016,6.7,68,36139,67.0
2778,A Lei da Noite,2016,6.4,49,36130,64.0
2779,Gênios do Crime,2016,5.8,47,35331,58.0
2780,Um Estado de Liberdade,2016,6.9,53,35156,69.0
2781,Keanu: Cadê Meu Gato?!,2016,6.3,63,34931,63.0
2782,Ouro,2016,6.7,49,34323,67.0
2783,Melanie - A Última Esperança,2016,6.7,67,33879,67.0
2784,A Luz Entre Oceanos,2016,7.2,60,33454,72.0
2785,Ben-Hur,2016,5.7,38,32390,57.0
2786,A Chefa,2016,5.4,40,31952,54.0
2787,"Eu, Daniel Blake",2016,7.9,78,31926,79.0
2788,Colossal,2016,6.2,70,31583,62.0
2789,Imperium,2016,6.5,68,31304,65.0
2790,Floresta Maldita,2016,4.8,34,30942,48.0
2791,Bruxa de Blair,2016,5.0,47,30516,50.0
2792,Armas na Mesa,2016,7.4,64,29798,74.0
2793,Negócio das Arábias,2016,6.1,58,29785,61.0
2794,Toni Erdmann,2016,7.5,93,29721,75.0
2795,Anthropoid,2016,7.2,59,29358,72.0
2796,O Apartamento,2016,7.9,85,29251,79.0
2797,Morgan,2016,5.8,48,27949,58.0
2798,Zerando a Vida,2016,5.7,22,26892,57.0
2799,Raça,2016,7.1,56,26130,71.0
2800,Grave,2016,7.0,81,25951,70.0
2801,O Experimento Belko,2016,6.1,44,24684,61.0
2802,Atentado em Paris,2016,6.3,48,24075,63.0
2803,American Honey,2016,7.0,79,23774,70.0
2804,Free Fire,2016,6.5,63,23349,65.0
2805,A Escolha,2016,6.6,26,23310,66.0
2806,O Maior Amor do Mundo,2016,5.6,18,22804,56.0
2807,O Lamento,2016,7.5,81,22440,75.0
2808,Casamento Grego 2,2016,6.0,37,22299,60.0
2809,Logan,2017,8.2,77,399160,82.0
2810,Mulher-Maravilha,2017,7.6,76,310300,76.0
2811,Guardiões da Galáxia Vol. 2,2017,7.8,67,284519,78.0
2812,Dunkirk,2017,8.3,94,230651,83.0
2813,Homem-Aranha: De Volta ao Lar,2017,7.6,73,214839,76.0
2814,Em Ritmo de Fuga,2017,7.8,86,195546,78.0
2815,Corra!,2017,7.7,84,192480,77.0
2816,John Wick: Um Novo Dia Para Matar,2017,7.6,75,191969,76.0
2817,A Bela e a Fera,2017,7.3,65,176463,73.0
2818,Kong: A Ilha da Caveira,2017,6.7,62,169984,67.0
2819,Alien: Covenant,2017,6.5,65,167319,65.0
2820,It: A Coisa,2017,7.8,70,166770,78.0
2821,Piratas do Caribe: A Vingança de Salazar,2017,6.7,39,149799,67.0
2822,Velozes e Furiosos 8,2017,6.8,56,140333,68.0
2823,Blade Runner 2049,2017,8.5,81,133582,85.0
2824,Vida,2017,6.6,54,129548,66.0
2825,A Vigilante do Amanhã: Ghost in the Shell,2017,6.4,52,126780,64.0
2826,Planeta dos Macacos: A Guerra,2017,7.6,82,111751,76.0
2827,A Múmia,2017,5.5,34,105365,55.0
2828,LEGO Batman: O Filme,2017,7.3,75,82536,73.0
2829,Baywatch,2017,5.6,37,74994,56.0
2830,Transformers: O Último Cavaleiro,2017,5.2,28,74072,52.0
2831,Dupla Explosiva,2017,7.0,47,73567,70.0
2832,Power Rangers,2017,6.1,44,68999,61.0
2833,Kingsman: O Círculo Dourado,2017,7.2,44,67413,72.0
2834,T2 Trainspotting,2017,7.3,67,67075,73.0
2835,xXx: Reativado,2017,5.2,42,61539,52.0
2836,O Poderoso Chefinho,2017,6.4,50,58947,64.0
2837,Cinquenta Tons Mais Escuros,2017,4.6,33,57910,46.0
2838,A Torre Negra,2017,5.8,34,51875,58.0
2839,Atômica,2017,6.9,63,51587,69.0
2840,Meu Malvado Favorito 3,2017,6.3,49,50670,63.0
2841,Annabelle 2: A Criação do Mal,2017,6.7,62,50377,67.0
2842,Um Laço de Amor,2017,7.6,60,48668,76.0
2843,Death Note,2017,4.6,43,48286,46.0
2844,Okja,2017,7.4,76,45327,74.0
2845,O Círculo,2017,5.3,43,44600,53.0
2846,Despedida em Grande Estilo,2017,6.6,50,42486,66.0
2847,Valerian e a Cidade dos Mil Planetas,2017,6.7,51,42020,67.0
2848,Mãe!,2017,7.1,74,41119,71.0
2849,Terra Selvagem,2017,7.8,73,40956,78.0
2850,Doentes de Amor,2017,7.7,86,40640,77.0
2851,Ao Cair da Noite,2017,6.2,78,37042,62.0
2852,Quatro Vidas de um Cachorro,2017,6.8,43,36892,68.0
2853,Thor: Ragnarok,2017,8.2,74,35934,82.0
2854,Feito na América,2017,7.3,65,31370,73.0
2855,Onde Está Segunda?,2017,6.9,47,29982,69.0
2856,Shot Caller,2017,7.4,59,28577,74.0
2857,O Espaço Entre Nós,2017,6.4,33,27486,64.0
2858,Emoji: O Filme,2017,2.6,12,26274,26.0
2859,O Chamado 3,2017,4.5,25,25886,45.0
2860,Jogo Perigoso,2017,6.8,76,24892,68.0
2861,War Machine,2017,6.1,56,24839,61.0
2862,Carros 3,2017,7.0,59,23763,70.0
2863,Te Pego na Saída,2017,5.6,37,23710,56.0
2864,Antes que Eu Vá,2017,6.4,58,23563,64.0
2865,CHIPS,2017,6.0,28,22794,60.0
2866,A Noite é Delas,2017,5.2,51,21377,52.0
2867,47 Metros Para Baixo,2017,5.7,52,20708,57.0
2868,O Mínimo para Viver,2017,6.9,64,20333,69.0
2869,Já Não Me Sinto Em Casa Nesse Mundo,2017,7.0,75,20154,70.0
2870,Logan Lucky - Roubo em Família,2017,7.3,78,19979,73.0
2871,O Estranho que Nós Amamos,2017,6.5,77,19799,65.0
2872,Viagem das Loucas,2017,4.3,45,19280,43.0
2873,Amor em Tempos de Guerra,2017,7.0,26,18759,70.0
2874,Sleepless,2017,5.6,34,18191,56.0
2875,A Descoberta,2017,6.3,55,17072,63.0
2876,O Zoológico de Varsóvia,2017,7.0,57,17034,70.0
2877,O Sequestro,2017,5.9,44,16940,59.0
2878,A Cabana,2017,6.3,32,16838,63.0
2879,A Ghost Story,2017,7.0,84,15929,70.0
2880,The House,2017,5.6,30,12875,56.0
2881,Tudo e Todas as Coisas,2017,6.4,52,12751,64.0
2882,A Morte te dá Parabéns!,2017,6.7,57,12692,67.0
2883,O Assassino: O Primeiro Alvo,2017,6.5,45,12423,65.0
2884,Na Mira do Atirador,2017,6.1,57,12000,61.0
2885,Convidados Sem Honra,2017,5.8,40,11971,58.0
2886,As Aventuras do Capitão Cueca: O Filme,2017,6.2,69,11848,62.0
2887,Tempestade: Planeta em Fúria,2017,5.8,21,11801,58.0
2888,iBoy,2017,6.0,50,11735,60.0
2889,Nunca Diga Seu Nome,2017,4.3,37,11318,43.0
2890,All Eyez on Me,2017,5.8,38,11293,58.0
2891,Girls Trip,2017,6.4,71,11199,64.0
2892,Em Busca de Vingança,2017,5.7,44,11197,57.0
2893,A Síndrome de Berlin,2017,6.3,70,10615,63.0
2894,Unlocked,2017,6.2,46,10574,62.0
2895,Os Smurfs e a Vila Perdida,2017,5.9,40,10302,59.0
2896,Boneco de Neve,2017,5.2,23,9602,52.0
2897,Castelo de Areia,2017,6.3,45,9465,63.0
2898,Detroit em Rebelião,2017,7.6,78,9367,76.0
2899,De Canção em Canção,2017,5.8,54,9144,58.0
2900,Megan Leavey,2017,7.1,66,9032,71.0
2901,Os Meyerowitz: Família Não Se Escolhe,2017,7.1,79,9004,71.0
2902,Sandy Wexler,2017,5.1,40,8740,51.0
2903,Nu,2017,5.3,36,8273,53.0
2904,1922,2017,6.5,70,8035,65.0
2905,Loucos e Perigosos,2017,5.2,28,7976,52.0
2906,Minha Prima Raquel,2017,6.0,63,7974,60.0
2907,O Estrangeiro,2017,7.3,55,7774,73.0
2908,Ícaro,2017,8.1,68,7506,81.0
2909,XX,2017,4.6,64,6911,46.0
2910,Como se Tornar um Conquistador,2017,5.9,54,6748,59.0
2911,Brawl in Cell Block 99,2017,7.3,79,6491,73.0
2912,O Livro de Henry,2017,6.5,31,6491,65.0
2913,Paixão Obsessiva,2017,5.0,45,6471,50.0
2914,Churchill,2017,6.6,44,6268,66.0
2915,Bom Comportamento,2017,7.8,80,6124,78.0
2916,Black Butterfly,2017,6.1,43,6041,61.0
2917,Jungle,2017,6.7,48,6004,67.0
2918,Jogos Mortais: Jigsaw,2017,6.3,40,5878,63.0
2919,7 Desejos,2017,5.1,32,5874,51.0
