,Code,IES_name,Number_employees
101,26277 ,FUNDACAO UNIV. FEDERAL DE OURO PRETO ,1893
102,26274 ,FUNDACAO UNIV. FEDERAL DE UBERLANDIA ,5552
103,26271 ,FUNDACAO UNIVERSIDADE DE BRASILIA ,6264
104,26270 ,FUNDACAO UNIVERSIDADE DO AMAZONAS ,3722
105,26257 ,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS ,1841
106,26256 ,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA ,1572
107,26201 ,COLEGIO PEDRO II ,2345
108,26443 ,EMPRESA BRAS. DE SERVICOS HOSPITALARES ,25750
109,26298 ,FUND COORD APERF PESSOAL NIVEL SUPERIOR ,409
110,26350 ,FUND. UNIV FEDERAL DA GRANDE DOURADOS ,1585
111,26285 ,FUND. UNIVERSIDADE DE SAO JOAO DEL REI ,1493
112,26268 ,FUND. UNIVERSIDADE FEDERAL DE RONDONIA ,1301
113,26284 ,FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE ,1077
114,26230 ,FUND.UNIV.FED.DO VALE DO SAO FRANCISCO ,1018
115,26292 ,FUNDACAO JOAQUIM NABUCO ,286
116,26277 ,FUNDACAO UNIV. FEDERAL DE OURO PRETO ,1893
117,26274 ,FUNDACAO UNIV. FEDERAL DE UBERLANDIA ,5552
118,26271 ,FUNDACAO UNIVERSIDADE DE BRASILIA ,6264
119,26270 ,FUNDACAO UNIVERSIDADE DO AMAZONAS ,3722
